Building_ID,area_m2,estimated_tax_euro,source_file
55,458.76000000124554,389.9460000010587,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
56,379.07999999971264,322.21799999975576,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
57,2288.110000004377,1944.8935000037204,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
58,228.81999999996708,194.49699999997202,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
59,90.01999999711529,76.516999997548,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
60,933.7899999993695,793.7214999994641,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
61,173.610000000368,147.56850000031278,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
62,100.1200000006021,85.10200000051178,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
63,61.45000000036671,52.2325000003117,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
64,1216.8099999986832,1034.2884999988808,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
65,52.77999999988125,44.86299999989906,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
66,277.910000000112,236.22350000009519,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
67,7.500000000558793,6.375000000474974,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
68,7.649999999912688,6.502499999925784,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
69,103.38999999985329,87.88149999987529,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
70,8.469999999781141,7.19949999981397,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
71,339.76000000501296,288.79600000426103,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
72,353.09000000077367,300.1265000006576,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
73,52.10000000026772,44.28500000022756,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
74,83.45000000002915,70.93250000002477,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
75,48.25999999967517,41.0209999997239,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
76,16.74000000003375,14.229000000028686,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
77,215.5400000021932,183.2090000018642,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
78,690.4400000007748,586.8740000006586,dop10rgbi_32_364_5620_1_nw_2025_prediction.gpkg
